,hard_skills,id_annonce
229,Spark,40389569
229,machine learning,40389569
229,ETL,40389569
229,Mac,40389569
230,Tableau,43653340
230,SQL,43653340
230,DataViz,43653340
230,Power Bi,43653340
230,AlteryX,43653340
230,Qlik,43653340
231,ML,43819013
231,Excel,43819013
231,Tableau,43819013
231,SQL,43819013
231,Access,43819013
231,DataViz,43819013
231,Looker,43819013
232,ML,44078750
232,Excel,44078750
232,Tableau,44078750
232,SQL,44078750
232,Access,44078750
233,Mac,40682008
233,machine learning,40682008
233,SQL,40682008
234,VBA,42277328
234,Excel,42277328
234,Power Bi,42277328
234,SQL,42277328
235,ML,41991207
235,SQL,41991207
235,SQL Server,41991207
235,Access,41991207
235,Dataiku,41991207
235,Power Bi,41991207
235,Datalake,41991207
237,Excel,43692921
237,SQL,43692921
237,Azure,43692921
237,SQL Server,43692921
237,Access,43692921
238,ML,43362025
238,Excel,43362025
238,Access,43362025
238,Google Analytics,43362025
238,DataViz,43362025
238,SAP,43362025
238,Looker,43362025
239,Excel,43576059
239,SQL,43576059
240,Mac,43991985
240,SQL,43991985
241,ML,42551053
241,Excel,42551053
242,Google Analytics,40392919
242,Tableau,40392919
243,Access,44080097
243,Excel,44080097
243,SQL,44080097
244,Mac,43875889
244,SQL,43875889
245,Mac,40683609
245,machine learning,40683609
245,SQL,40683609
246,Mac,43563774
246,machine learning,43563774
246,Excel,43563774
247,DataViz,43653511
247,SAP,43653511
247,Excel,43653511
247,Looker,43653511
248,Excel,40098198
248,SQL,40098198
248,QlikSens,40098198
248,Power Bi,40098198
248,SAP,40098198
248,Qlik,40098198
249,Access,42651443
249,Excel,42651443
250,Excel,41197351
250,Power Bi,41197351
250,SQL,41197351
251,ML,43255206
251,Spark,43255206
251,Dataiku,43255206
251,Hadoop,43255206
252,Excel,43692912
252,SQL,43692912
253,Excel,43697187
253,Power Bi,43697187
254,SpotFire,39629188
254,Excel,39629188
254,Power Bi,39629188
254,Spotfire,39629188
255,ML,42670500
255,Excel,42670500
255,Azure,42670500
255,Spark,42670500
255,Snowflake,42670500
256,Access,43066350
256,Excel,43066350
256,Tableau,43066350
257,Mac,40389194
257,machine learning,40389194
257,Excel,40389194
258,Excel,40953704
259,ML,41781350
259,Excel,41781350
259,Tableau,41781350
259,SQL,41781350
259,Power Bi,41781350
260,ML,43329840
260,Excel,43329840
261,ML,44023955
261,Excel,44023955
262,Excel,43074038
262,Tableau,43074038
263,Mac,43819012
263,PostgreSQL,43819012
263,Windows,43819012
263,SQL,43819012
264,Mac,43819008
264,PostgreSQL,43819008
264,Windows,43819008
264,SQL,43819008
265,ML,43244708
265,Airflow,43244708
265,SQL,43244708
265,MongoDB,43244708
265,Azure,43244708
265,MySQL,43244708
265,PostgreSQL,43244708
265,Snowflake,43244708
265,Datalake,43244708
265,Docker,43244708
267,ML,43875894
267,Excel,43875894
267,Tableau,43875894
267,SQL,43875894
267,Access,43875894
267,Snowflake,43875894
267,Airflow,43875894
268,ML,38734759
268,Excel,38734759
268,Access,38734759
269,Power Bi,44272849
269,SQL,44272849
270,MongoDB,44209781
270,Azure,44209781
270,SQL,44209781
272,Excel,41645119
273,Qlik,44046597
273,QlikSens,44046597
273,Tableau,44046597
273,Power Bi,44046597
274,SAP,41567407
274,Excel,41567407
274,Tableau,41567407
274,Power Bi,41567407
275,Linux,43173201
275,Jupyter,43173201
275,SQL,43173201
275,machine learning,43173201
275,Plotly,43173201
275,Mac,43173201
275,SAP,43173201
275,Docker,43173201
276,SQL,43966610
277,SQL,43951506
278,Power Apps,40058996
278,Excel,40058996
278,Power Bi,40058996
278,SQL,40058996
279,Excel,41688055
279,Power Bi,41688055
280,Tableau,43047228
280,Power Bi,43047228
280,SQL,43047228
281,Excel,44216210
281,Qlik,44216210
281,SQL,44216210
282,SQL,44214695
283,VBA,44285517
283,Excel,44285517
283,Looker,44285517
284,Access,43886599
284,Tableau,43886599
285,Tableau,43868305
285,SQL,43868305
285,Google Analytics,43868305
285,Power Bi,43868305
285,DAX,43868305
286,Qlik,42939260
286,Excel,42939260
286,Tableau,42939260
286,SQL,42939260
287,Excel,44188780
287,DAX,44188780
287,Power Bi,44188780
287,SQL,44188780
288,DataViz,44161077
288,Power Bi,44161077
288,SQL,44161077
289,Tableau,41579516
289,Power Bi,41579516
